message,intent,is_payment_related,is_fraud,risk_label,phone_number,upi_id,amount,urgency,impersonation,suspicious_keywords
HDFC Bank never asks for your PIN OTP or CVV Report suspicious calls to 1930 Your KYC can be updated only at the branch or the official app,BANK_REQUEST,True,False,LOW,,,,False,False,kyc_credential|impersonation
"Scored a hat-trick yesterday, 2 runs too!",NON_PAYMENT,False,False,LOW,,,,False,False,
"Dear winner, your Amazon prize of ₹250,000 is ready. Registration fee ₹999 to electricity.pay@okaxis. Call +917371703548 immediately.",PRIZE_SCAM,True,True,HIGH,+917371703548,electricity.pay@okaxis,999.0,True,True,urgency|reward|upfront_fee|job
Reminder: BESCOM bill ₹799 due 16 Jan. Pay through BHIM bill payments section.,BILL_PAYMENT,True,False,LOW,,,799.0,False,False,
"payment for the study table done, inr 2500 via gpay to ritu@oksbi. please share the invoice.",MARKETPLACE_PAYMENT,True,False,LOW,,ritu@oksbi,2500.0,False,False,
Kal 7 baje gym aa raha hai kya?,NON_PAYMENT,False,False,LOW,,,,False,False,
"Dear valued customer, Re-KYC required. Transfer Rs. 1,999/- to urgentkyc@oksbi and share the reference within 2 hours. or the amount will be forfeited.",KYC_SCAM,True,True,HIGH,,urgentkyc@oksbi,1999.0,True,True,urgency|kyc_credential|impersonation
"study table available. Pay Rs. 3,000/- delivery charge to verifybank976@oksbi now and the courier will bring it to your home, pay balance on delivery.",MARKETPLACE_PAYMENT,True,True,HIGH,,verifybank976@oksbi,3000.0,True,False,upfront_fee|marketplace
"Forex signals: first 5 members get 50000 rupees on Rs. 25,000/-. Transfer to hdfc.verify@okaxis now.",INVESTMENT_SCAM,True,True,HIGH,,hdfc.verify@okaxis,50000.0,False,False,
Your delivery is on hold Pay 2000 rupees customs charge to riya30@ybl aaj hi or the parcel will be returned,URGENCY_PAYMENT,True,True,HIGH,,riya30@ybl,2000.0,True,True,urgency|impersonation|marketplace
"invest ₹2,000 today and get ₹4,000 in 7 days, guaranteed returns. pay to jobportal.fee@ibl. limited slots.",INVESTMENT_SCAM,True,True,HIGH,,jobportal.fee@ibl,2000.0,False,True,investment
"Dear winner, your KBC prize of ₹250,000 is ready. Registration fee 1499 rupees to reward.claim613@axl. Call +91 87387 33417 jaldi.",PRIZE_SCAM,True,True,HIGH,+918738733417,reward.claim613@axl,1499.0,True,True,urgency|reward|upfront_fee|job
bhai kal 11 baje milte hain college gate pe.,NON_PAYMENT,False,False,LOW,,,,False,False,
"Join our IPO allotment scheme. Pay ₹2,000 to invest.pro707@ibl and get confirmed allotment with 2x listing gain.",INVESTMENT_SCAM,True,True,HIGH,,invest.pro707@ibl,2000.0,False,False,
"PS5 ke liye 4000 rupees theek hai. Kal aake dekh ke pay kar dunga, cash ya UPI dono chalega.",MARKETPLACE_PAYMENT,True,False,LOW,,,4000.0,False,False,
"Hi, this is Mr. Sharma from accounts. I am in a meeting and need 20k transferred immediately to rewards.claim@paytm for a vendor. Will reimburse today.",IMPERSONATION,True,True,HIGH,,rewards.claim@paytm,20000.0,True,True,urgency
"Collect request sent for ₹10,000. Approve it with your UPI PIN to receive the amount.",QR_SCAM,True,True,HIGH,,,10000.0,True,False,kyc_credential
Reminder: dentist appointment on 17th at 13:00.,NON_PAYMENT,False,False,LOW,,,,False,False,
Sharma General Store: advance of 3200 rupees for the booking is due by 15th Pay to sharmagenera3@okbizaxis or at the desk GST invoice will follow,MERCHANT_PAYMENT,True,False,LOW,,sharmagenera3@okbizaxis,3200.0,False,False,upfront_fee
"thanks for the cycle! sent ₹40,000 to aditya@oksbi just now, please check and confirm.",MARKETPLACE_PAYMENT,True,False,LOW,,aditya@oksbi,40000.0,False,False,
"Got 42 marks in the internal, decent I guess.",NON_PAYMENT,False,False,LOW,,,,False,False,
"Alert: This is Sanjay from Amazon Pay support. A wrong transfer of ₹2,000 was made to you. Refund to bhavya@ptaxis jaldi to avoid account freeze.",REFUND_SCAM,True,True,HIGH,,bhavya@ptaxis,2000.0,True,False,urgency|refund
"Your electricity connection will be cut within 2 hours. Pay pending bill ₹10,000 to sanjay@apl now. Officer 6537497389",IMPERSONATION,True,True,HIGH,+916537497389,sanjay@apl,10000.0,True,True,urgency|impersonation
Bro the Netflix password changed ask Sneha,NON_PAYMENT,False,False,LOW,,,,False,False,
Sharma General Store monthly subscription of ₹120 is due on 12th Pay to sharmagenera3@axisbank at your convenience,MERCHANT_PAYMENT,True,False,LOW,,sharmagenera3@axisbank,120.0,False,False,
"Data entry job offer, no experience needed. Registration INR 499 only, pay on task.fee@axl. Salary Rs. 80,000/-.",JOB_SCAM,True,True,HIGH,,task.fee@axl,80000.0,False,True,job
Loan EMI overdue. Pay 500 turant to reward.claim@oksbi or your account will be blocked. Recovery agent will visit.,URGENCY_PAYMENT,True,True,HIGH,,reward.claim@oksbi,,True,True,urgency|kyc_credential
"PNB: credit card statement generated. Total due Rs 12000, minimum due 1200 rupees. Pay via net banking or the PNB app.",BANK_REQUEST,True,False,LOW,,,12000.0,False,False,
Blue Dart se order ready hai. Rs 120 bluedart2@okbizaxis pe pay kar dena ya cash de dena.,MERCHANT_PAYMENT,True,False,LOW,,bluedart2@okbizaxis,120.0,False,False,
"your delivery is on hold. pay ₹7,000 customs charge to courier.pay@ybl asap or the parcel will be returned.",URGENCY_PAYMENT,True,True,HIGH,,courier.pay@ybl,7000.0,True,False,urgency|impersonation|marketplace
"install this app tinyurl.com/hemlu and share the screen to receive rs. 20,000/- cashback instantly.",QR_SCAM,True,True,HIGH,,,20000.0,True,True,reward|qr_link
"Your Airtel broadband plan renews on 23 Mar. Amount Rs. 2,460/-. Auto-pay is enabled, no action needed.",BILL_PAYMENT,True,False,LOW,,,2460.0,False,False,
Invoice #5358 from Metro Cabs for Rs 2350. UPI ID metrocabs7@sbi. Please share screenshot after payment.,MERCHANT_PAYMENT,True,False,LOW,,metrocabs7@sbi,2350.0,False,False,
"Axis Bank customer, your net banking will be suspended within 24 hours. Pay verification amount ₹2,999 to kycupdate835@ibl or the amount will be forfeited.",KYC_SCAM,True,True,HIGH,,kycupdate835@ibl,2999.0,True,True,urgency|kyc_credential|impersonation
"Buyer here from OLX. Sending a payment request of 2000 rupees on BHIM, please accept and enter PIN to receive.",QR_SCAM,True,True,HIGH,,,2000.0,True,True,kyc_credential|marketplace
"Hey it's Anjali, using a friend's phone. Stuck at the airport, need ₹3,000 today only on reward.claim@oksbi. Please yaar.",IMPERSONATION,True,True,HIGH,,reward.claim@oksbi,3000.0,True,True,urgency|impersonation
Double your money scheme! Send Rs 500 to reward.claim@ibl and receive 1500 rupees by Monday. WhatsApp 6626985205,INVESTMENT_SCAM,True,True,HIGH,+916626985205,reward.claim@ibl,500.0,True,True,investment
"Yes Bank: cheque no. 495806 for ₹12,000 has been cleared.",BANK_REQUEST,True,False,LOW,,,12000.0,False,False,impersonation
"CRPF jawan, urgent posting. laptop at Rs. 6,000/- only. Advance 1000 rupees on hrdesk651@paytm to block it.",MARKETPLACE_PAYMENT,True,True,HIGH,,hrdesk651@paytm,6000.0,True,True,urgency|upfront_fee
"Invest 10000 rupees today and get INR 20000 in 7 days, guaranteed returns. Pay to support.desk@paytm. Limited slots.",INVESTMENT_SCAM,True,True,HIGH,,support.desk@paytm,10000.0,True,True,investment
"Payment received, ₹3,200 from you at Book Corner. Thank you, visit again!",MERCHANT_PAYMENT,True,False,LOW,,,3200.0,False,False,
Reminder: Airtel bill ₹649 due 18 Oct. Pay through Paytm bill payments section.,BILL_PAYMENT,True,False,LOW,,,649.0,False,False,
"Papa here, new number. Phone broke. Send ₹20,000 within 24 hours to karan66@okaxis, emergency, will explain later.",IMPERSONATION,True,True,HIGH,,karan66@okaxis,20000.0,True,True,urgency|impersonation
Your delivery is on hold. Pay Rs 500 customs charge to task.fee@ibl within 24 hours or the parcel will be returned.,URGENCY_PAYMENT,True,True,HIGH,,task.fee@ibl,500.0,True,False,urgency|impersonation|marketplace
